# token|type|owner|allocatorOwner|kind|visibility
ten|TenantId|S1|S1|correlation|public
prn|PrincipalId|S9|S9|privacy|public
sub|SubjectId|S9|S9|privacy|public
ses|SessionId|S1|S1|correlation|public
thr|ThreadId|S1|S1|correlation|public
liv|LiveSessionId|S1|S1|authority|public
run|RuntimeGenerationId|S1|S1|generation|public
par|ParticipantId|S1|S1|authority|public
fct|JournalFactId|S1|S1|authority|public
sch|SchemaId|S1|S1|registry|public
aut|AuthorizationId|S9|S9|privacy|public
prj|ProjectionId|S9|S9|projection|public
op|OperationId|S1|S1|operation|public
grt|CapacityGrantId|S2|S2|capacity|public
cpy|CopyId|S9|S9|privacy|public
cpr|CopyRangeId|S9|S9|privacy|public
cgr|CaptureGrantId|S9|S9|privacy|public
cap|CaptureId|S9|S9|privacy|public
dsc|DisclosureId|S9|S9|privacy|public
hld|HoldId|S9|S9|privacy|public
del|DeletionId|S9|S9|privacy|public
exp|ExportId|S9|S9|privacy|public
cnt|ContentId|S9|S9|custody|public
sbr|SubscriberId|S9|S9|delivery|public
grf|GraphGenerationId|S2|S2|generation|public
act|ActivityGenerationId|S3|S3|generation|public
trn|TurnGenerationId|S4|S4|generation|public
pvg|ProviderGenerationId|S5|S5|generation|public
out|OutputGenerationId|S6|S6|generation|public
snk|SinkGenerationId|S6|S6|generation|public
tol|ToolGenerationId|S7|S7|generation|public
rte|RouteGenerationId|S8|S8|generation|public
prv|PrivacyGenerationId|S9|S9|generation|public
trp|TransportGenerationId|S11|S11|generation|public
cpp|CapacityPurposeId|S2|S2|capacity|public
pur|PurposeId|S9|S9|privacy|public
aud|AudienceId|S9|S9|privacy|public
lim|LimitationId|S1|S1|qualification|public
cus|CustodianDescriptorId|S9|S9|privacy|public
pvd|ProviderId|AgentCore|AgentCore|provider|public
pvf|ProviderFamilyId|AgentCore|AgentCore|provider|public
fac|ProviderFactoryId|AgentCore|AgentCore|provider|public
pln|LiveAudioPlanId|S1|S1|composition|public
env|EnvironmentProfileId|S1|S1|qualification|public
srf|SurfaceId|S1|S1|qualification|public
clk|ClockDomainId|S1|S1|clock|public
boo|BootId|S1|S1|clock|public
gpa|GlobalParticipantAllocatorJournalId|S1|S1|authority|internal
